clean_match_id,feature_id,feature_version,match_date_utc,season,competition_code,competition_name,stage,group_name,team_a_name,team_b_name,team_a_score,team_b_score,total_goals,target_1x2,target_over_1_5,target_over_2_5,target_btts,home_form_points_last_5,away_form_points_last_5,home_form_points_last_10,away_form_points_last_10,home_goals_scored_avg_last_10,away_goals_scored_avg_last_10,home_goals_conceded_avg_last_10,away_goals_conceded_avg_last_10,ranking_gap,elo_gap,is_neutral_venue,team_a_is_host,team_b_is_host,host_side_team_a,host_side_team_b,is_group_stage,is_knockout_stage,split_role
73,73,national_v1_elo_form,1937-11-07T00:00:00+00:00,1937,WCQ,FIFA World Cup qualification,,,Republic of Ireland,Norway,3,3,6,DRAW,YES,YES,YES,1.0,3.0,1.0,3.0,2.667,3.0,4.0,2.0,,-52.365,1,0,0,0,0,0,0,train
74,74,national_v1_elo_form,1937-11-21T00:00:00+00:00,1937,WCQ,FIFA World Cup qualification,,,Germany,Sweden,5,0,5,TEAM_A_WIN,YES,YES,NO,12.0,12.0,18.0,15.0,3.714,3.833,1.429,1.333,,38.354,0,1,0,1,0,0,0,train
75,75,national_v1_elo_form,1937-11-28T00:00:00+00:00,1937,WCQ,FIFA World Cup qualification,,,Netherlands,Luxembourg,4,0,4,TEAM_A_WIN,YES,YES,NO,6.0,0.0,6.0,0.0,3.667,1.0,2.333,7.5,,48.807,0,1,0,1,0,0,0,train
76,76,national_v1_elo_form,1938-01-22T00:00:00+00:00,1938,WCQ,FIFA World Cup qualification,,,Israel,Greece,1,3,4,TEAM_B_WIN,YES,YES,YES,0.0,0.0,0.0,0.0,1.0,0.0,5.5,4.0,,-18.033,0,0,0,0,0,0,0,train
77,77,national_v1_elo_form,1938-02-20T00:00:00+00:00,1938,WCQ,FIFA World Cup qualification,,,Greece,Israel,1,0,1,TEAM_A_WIN,NO,NO,NO,3.0,0.0,3.0,0.0,1.5,1.0,2.5,4.667,,55.958,0,1,0,1,0,0,0,train
78,78,national_v1_elo_form,1938-03-13T00:00:00+00:00,1938,WCQ,FIFA World Cup qualification,,,Luxembourg,Belgium,2,3,5,TEAM_B_WIN,YES,YES,YES,0.0,1.0,0.0,1.0,0.667,1.6,6.333,3.4,,36.215,0,1,0,1,0,0,0,train
79,79,national_v1_elo_form,1938-03-25T00:00:00+00:00,1938,WCQ,FIFA World Cup qualification,,,Hungary,Greece,11,1,12,TEAM_A_WIN,YES,YES,YES,9.0,6.0,9.0,6.0,3.25,1.333,1.5,1.667,,18.667,0,1,0,1,0,0,0,train
80,80,national_v1_elo_form,1938-04-03T00:00:00+01:00,1938,WCQ,FIFA World Cup qualification,,,Belgium,Netherlands,1,1,2,DRAW,YES,NO,YES,4.0,9.0,4.0,9.0,1.833,3.75,3.167,1.75,,-89.079,0,1,0,1,0,0,0,train
81,81,national_v1_elo_form,1938-04-03T00:00:00+01:00,1938,WCQ,FIFA World Cup qualification,,,Yugoslavia,Poland,1,0,1,TEAM_A_WIN,NO,NO,NO,4.0,3.0,7.0,3.0,1.667,2.5,2.5,1.0,,-6.778,0,1,0,1,0,0,0,train
82,82,national_v1_elo_form,1938-04-24T00:00:00+01:00,1938,WCQ,FIFA World Cup qualification,,,Czechoslovakia,Bulgaria,6,0,6,TEAM_A_WIN,YES,YES,NO,10.0,1.0,13.0,1.0,2.0,1.0,1.333,3.75,,126.876,0,1,0,1,0,0,0,train
83,83,national_v1_elo_form,1938-05-01T00:00:00+01:00,1938,WCQ,FIFA World Cup qualification,,,Switzerland,Portugal,2,1,3,TEAM_A_WIN,YES,YES,YES,5.0,0.0,5.0,0.0,2.25,0.5,2.25,5.5,,44.232,1,0,0,0,0,0,0,train
84,84,national_v1_elo_form,1938-06-04T00:00:00+01:00,1938,WC,FIFA World Cup,,,Germany,Switzerland,1,1,2,DRAW,YES,NO,YES,12.0,8.0,21.0,8.0,3.875,2.2,1.25,2.0,,98.292,1,0,0,0,0,0,0,train
85,85,national_v1_elo_form,1938-06-05T00:00:00+01:00,1938,WC,FIFA World Cup,,,Brazil,Poland,6,5,11,TEAM_A_WIN,YES,YES,YES,3.0,3.0,3.0,3.0,2.0,1.667,1.667,1.0,,-5.05,1,0,0,0,0,0,0,train
86,86,national_v1_elo_form,1938-06-05T00:00:00+01:00,1938,WC,FIFA World Cup,,,Cuba,Romania,3,3,6,DRAW,YES,YES,YES,4.0,7.0,7.0,7.0,2.167,1.6,2.333,2.0,,-15.929,1,0,0,0,0,0,0,train
87,87,national_v1_elo_form,1938-06-05T00:00:00+01:00,1938,WC,FIFA World Cup,,,Czechoslovakia,Netherlands,3,0,3,TEAM_A_WIN,YES,YES,NO,10.0,10.0,16.0,10.0,2.571,3.2,1.143,1.6,,74.955,1,0,0,0,0,0,0,train
88,88,national_v1_elo_form,1938-06-05T00:00:00+01:00,1938,WC,FIFA World Cup,,,France,Belgium,3,1,4,TEAM_A_WIN,YES,YES,YES,6.0,5.0,6.0,5.0,2.4,1.714,1.4,2.857,,34.899,0,1,0,1,0,0,0,train
89,89,national_v1_elo_form,1938-06-05T00:00:00+01:00,1938,WC,FIFA World Cup,,,Hungary,Indonesia,6,0,6,TEAM_A_WIN,YES,YES,NO,12.0,0.0,12.0,0.0,4.8,,1.4,,,50.669,1,0,0,0,0,0,0,train
